id,cidade,id_estado,sigla,estado,latitude,longitude,gps,populacao
2301604,ASSARE,23,CE,CEARA,-6.8746791,-39.8741385,"-6.8746791,-39.8741385",23417
2301703,AURORA,23,CE,CEARA,-6.9426019,-38.9693765,"-6.9426019,-38.9693765",24654
2301802,BAIXIO,23,CE,CEARA,-6.7303544,-38.7170095,"-6.7303544,-38.7170095",6288
2301851,BANABUIU,23,CE,CEARA,-5.3046404,-38.9197660,"-5.3046404,-38.919766",18197
2301901,BARBALHA,23,CE,CEARA,-7.3121067,-39.3036427,"-7.3121067,-39.3036427",59732
2301950,BARREIRA,23,CE,CEARA,-4.2883361,-38.6410940,"-4.2883361,-38.641094",22425
2302008,BARRO,23,CE,CEARA,-7.1713587,-38.7742136,"-7.1713587,-38.7742136",22680
2302057,BARROQUINHA,23,CE,CEARA,-3.0200371,-41.1339229,"-3.0200371,-41.1339229",15017
2302107,BATURITE,23,CE,CEARA,-4.3290203,-38.8821055,"-4.3290203,-38.8821055",35750
2302206,BEBERIBE,23,CE,CEARA,-4.1810469,-38.1298101,"-4.1810469,-38.1298101",53573
2302305,BELA CRUZ,23,CE,CEARA,-3.0529129,-40.1675820,"-3.0529129,-40.167582",32591
2302404,BOA VIAGEM,23,CE,CEARA,-5.1261877,-39.7300055,"-5.1261877,-39.7300055",54470
2302503,BREJO SANTO,23,CE,CEARA,-7.4909841,-38.9859152,"-7.4909841,-38.9859152",49477
2302602,CAMOCIM,23,CE,CEARA,-2.9009918,-40.8427389,"-2.9009918,-40.8427389",63661
2302701,CAMPOS SALES,23,CE,CEARA,-7.0742675,-40.3740367,"-7.0742675,-40.3740367",27426
2302800,CANINDE,23,CE,CEARA,-4.3547946,-39.3108516,"-4.3547946,-39.3108516",76997
2302909,CAPISTRANO,23,CE,CEARA,-4.4644692,-38.8956734,"-4.4644692,-38.8956734",17738
2303006,CARIDADE,23,CE,CEARA,-4.2316487,-39.1946515,"-4.2316487,-39.1946515",22547
2303105,CARIRE,23,CE,CEARA,-3.9485840,-40.4760280,"-3.948584,-40.476028",18448
2303204,CARIRIACU,23,CE,CEARA,-7.0417053,-39.2835527,"-7.0417053,-39.2835527",26965
2303303,CARIUS,23,CE,CEARA,-6.5348688,-39.4966658,"-6.5348688,-39.4966658",18699
2303402,CARNAUBAL,23,CE,CEARA,-4.1611842,-40.9412317,"-4.1611842,-40.9412317",17606
2303501,CASCAVEL,23,CE,CEARA,-4.1296660,-38.2411780,"-4.129666,-38.241178",71743
2303600,CATARINA,23,CE,CEARA,-6.1341578,-39.8795321,"-6.1341578,-39.8795321",20698
2303659,CATUNDA,23,CE,CEARA,-4.6494224,-40.2002603,"-4.6494224,-40.2002603",10342
2303709,CAUCAIA,23,CE,CEARA,-3.7300563,-38.6593082,"-3.7300563,-38.6593082",361400
2303808,CEDRO,23,CE,CEARA,-6.6065382,-39.0599487,"-6.6065382,-39.0599487",25557
2303907,CHAVAL,23,CE,CEARA,-3.0339874,-41.2438452,"-3.0339874,-41.2438452",13069
2303931,CHORO,23,CE,CEARA,-4.8435726,-39.1393071,"-4.8435726,-39.1393071",13521
2303956,CHOROZINHO,23,CE,CEARA,-4.3010895,-38.4976923,"-4.3010895,-38.4976923",20264
2304004,COREAU,23,CE,CEARA,-3.5519794,-40.6528409,"-3.5519794,-40.6528409",23136
2304103,CRATEUS,23,CE,CEARA,-5.1782451,-40.6696545,"-5.1782451,-40.6696545",75074
2304202,CRATO,23,CE,CEARA,-7.2369112,-39.4149236,"-7.2369112,-39.4149236",132123
2304236,CROATA,23,CE,CEARA,-6.0545671,-38.8737630,"-6.0545671,-38.873763",18063
