id,cidade,id_estado,sigla,estado,latitude,longitude,gps,populacao
1200807,PORTO ACRE,12,AC,ACRE,-9.5879722,-67.5330700,"-9.5879722,-67.53307",18504
1300029,ALVARAES,13,AM,AMAZONAS,-3.2147860,-64.8143124,"-3.214786,-64.8143124",16041
1300060,AMATURA,13,AM,AMAZONAS,-3.3640509,-68.1994689,"-3.3640509,-68.1994689",11536
1300086,ANAMA,13,AM,AMAZONAS,-3.5797356,-61.4049996,"-3.5797356,-61.4049996",13614
1300102,ANORI,13,AM,AMAZONAS,-3.7435254,-61.6605203,"-3.7435254,-61.6605203",21010
1300144,APUI,13,AM,AMAZONAS,-1.9457717,-55.3518950,"-1.9457717,-55.351895",21973
1300201,ATALAIA DO NORTE,13,AM,AMAZONAS,-4.3658547,-70.1908742,"-4.3658547,-70.1908742",19921
1300300,AUTAZES,13,AM,AMAZONAS,-3.5833283,-59.1301518,"-3.5833283,-59.1301518",39565
1300409,BARCELOS,13,AM,AMAZONAS,-0.9729214,-62.9256350,"-0.9729214,-62.925635",27502
1300508,BARREIRINHA,13,AM,AMAZONAS,-2.5473740,-54.0853880,"-2.547374,-54.085388",32041
1300607,BENJAMIN CONSTANT,13,AM,AMAZONAS,-4.3782748,-70.0290603,"-4.3782748,-70.0290603",42984
1300631,BERURI,13,AM,AMAZONAS,-3.9007135,-61.3717319,"-3.9007135,-61.3717319",19679
1300680,BOA VISTA DO RAMOS,13,AM,AMAZONAS,-2.9716927,-57.5869819,"-2.9716927,-57.5869819",19207
1300706,BOCA DO ACRE,13,AM,AMAZONAS,-8.7553487,-67.3930873,"-8.7553487,-67.3930873",34308
1300805,BORBA,13,AM,AMAZONAS,-4.3934778,-59.5947721,"-4.3934778,-59.5947721",41161
1300839,CAAPIRANGA,13,AM,AMAZONAS,-3.3188884,-61.2096404,"-3.3188884,-61.2096404",13081
1300904,CANUTAMA,13,AM,AMAZONAS,-6.5330019,-64.3834966,"-6.5330019,-64.3834966",15629
